"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"169","IOG-i_inferior occipital gyrus, Right, inferior bank of gyrus","datasource",1,1137,1763.032,2.02e-233,"*",0.608,8.3628e-231
"170","IOG-s_inferior occipital gyrus, Left, superior bank of gyrus","datasource",1,1137,1588.209,4.63e-218,"*",0.583,1.91682e-215
"171","IOG-s_inferior occipital gyrus, Right, superior bank of gyrus","datasource",1,1137,1748.953,3.22e-232,"*",0.606,1.33308e-229
"172","IRoG_inferior rostral gyrus, Left","datasource",1,1137,1729.922,1.39e-230,"*",0.603,5.7546e-228
"173","IRoG_inferior rostral gyrus, Right","datasource",1,1137,1776.72,1.39e-234,"*",0.61,5.7546e-232
"174","ITG-its_inferior temporal gyrus, Left, bank of the its","datasource",1,1137,1613.631,2.36e-220,"*",0.587,9.77039999999999e-218
"175","ITG-its_inferior temporal gyrus, Right, bank of the its","datasource",1,1137,1838.602,8.93e-240,"*",0.618,3.69702e-237
"176","ITG-l_inferior temporal gyrus, Left, lateral bank of gyrus","datasource",1,1137,1723.857,4.63e-230,"*",0.603,1.91682e-227
"177","ITG-l_inferior temporal gyrus, Right, lateral bank of gyrus","datasource",1,1137,1848.523,1.34e-240,"*",0.619,5.5476e-238
"178","ITG-mts_inferior temporal gyrus, Left, bank of mts","datasource",1,1137,1700.706,4.71e-228,"*",0.599,1.94994e-225
"179","ITG-mts_inferior temporal gyrus, Right, bank of mts","datasource",1,1137,1798.422,2.04e-236,"*",0.613,8.4456e-234
"180","LA_Lateral Nucleus, Left","datasource",1,1137,1840.142,6.65e-240,"*",0.618,2.7531e-237
"181","LA_Lateral Nucleus, Right","datasource",1,1137,1482.501,2.75e-208,"*",0.566,1.1385e-205
"182","LC_locus ceruleus, Left","datasource",1,1137,1508.054,1.1e-210,"*",0.57,4.554e-208
"183","LC_locus ceruleus, Right","datasource",1,1137,1606.93,9.43e-220,"*",0.586,3.90402e-217
"184","LGd_Dorsal Lateral Geniculate Nucleus, Left","datasource",1,1137,1746.568,5.15e-232,"*",0.606,2.1321e-229
"185","LGd_Dorsal Lateral Geniculate Nucleus, Right","datasource",1,1137,2227.887,3.81e-270,"*",0.662,1.57734e-267
"186","LHA_Lateral hypothalamic area, Left","datasource",1,1137,1645.7,3.22e-223,"*",0.591,1.33308e-220
"187","LHA_Lateral hypothalamic area, Right","datasource",1,1137,1718.353,1.38e-229,"*",0.602,5.7132e-227
"188","LHM_Lateral Hypothalamic Area, Mammillary Region, Left","datasource",1,1137,1849.521,1.11e-240,"*",0.619,4.5954e-238
"189","LHM_Lateral Hypothalamic Area, Mammillary Region, Right","datasource",1,1137,1852.66,6.12e-241,"*",0.62,2.53368e-238
"190","LHT_Lateral Hypothalamic Area, Tuberal Region, Left","datasource",1,1137,1698.716,7.02e-228,"*",0.599,2.90628e-225
"191","LIG_Long Insular Gyri, Left","datasource",1,1137,1683.763,1.42e-226,"*",0.597,5.8788e-224
"192","LIG_Long Insular Gyri, Right","datasource",1,1137,1721.558,7.31e-230,"*",0.602,3.02634e-227
"193","LiG-pest_lingual gyrus, Left, peristriate","datasource",1,1137,1622.484,3.79e-221,"*",0.588,1.56906e-218
"194","LiG-pest_lingual gyrus, Right, peristriate","datasource",1,1137,1779.108,8.71e-235,"*",0.61,3.60594e-232
"195","LiG-str_lingual gyrus, Left, striate","datasource",1,1137,1586.788,6.23e-218,"*",0.583,2.57922e-215
"196","LiG-str_lingual gyrus, Right, striate","datasource",1,1137,1636.417,2.16e-222,"*",0.59,8.9424e-220
"197","LM_Lateral Mammillary Nucleus, Left","datasource",1,1137,1528.362,1.42e-212,"*",0.573,5.8788e-210
"198","LMRt_lateral medullary reticular group, Left","datasource",1,1137,2051.22,7.98e-257,"*",0.643,3.30372e-254
"199","LMRt_lateral medullary reticular group, Right","datasource",1,1137,2088.922,9.95999999999999e-260,"*",0.648,4.12344e-257
"200","LOrG_lateral orbital gyrus, Left","datasource",1,1137,1698.752,6.97e-228,"*",0.599,2.88558e-225
"201","LOrG_lateral orbital gyrus, Right","datasource",1,1137,1785.25,2.63e-235,"*",0.611,1.08882e-232
"202","LPB_lateral parabrachial nucleus, Left","datasource",1,1137,2037.124,9.92e-256,"*",0.642,4.10688e-253
"203","LPB_lateral parabrachial nucleus, Right","datasource",1,1137,2518.89,1.24e-290,"*",0.689,5.1336e-288
"204","LTu_Lateral Tuberal Nucleus, Left","datasource",1,1137,1715.814,2.3e-229,"*",0.601,9.522e-227
"205","MB_Mammillary Body, Left","datasource",1,1137,1409.507,2.64e-201,"*",0.554,1.09296e-198
"206","MB_Mammillary Body, Right","datasource",1,1137,1523.119,4.35e-212,"*",0.573,1.8009e-209
"207","MBRa_Midbrain Raphe Nuclei","datasource",1,1137,1946.29,1.47e-248,"*",0.631,6.0858e-246
"208","MBRa_Midbrain Raphe Nuclei, Left","datasource",1,1137,1585.093,8.88e-218,"*",0.582,3.67632e-215
"209","MBRF_Midbrain Reticular Formation, Left","datasource",1,1137,2038.216,8.16e-256,"*",0.642,3.37824e-253
"210","MBRF_Midbrain Reticular Formation, Right","datasource",1,1137,1838.599,8.93e-240,"*",0.618,3.69702e-237
"211","MFG-i_middle frontal gyrus, Left, inferior bank of gyrus","datasource",1,1137,1730.864,1.15e-230,"*",0.604,4.761e-228
"212","MFG-i_middle frontal gyrus, Right, inferior bank of gyrus","datasource",1,1137,1859.557,1.65e-241,"*",0.621,6.831e-239
"213","MFG-s_middle frontal gyrus, Left, superior bank of gyrus","datasource",1,1137,1716.623,1.95e-229,"*",0.602,8.073e-227
"214","MFG-s_middle frontal gyrus, Right, superior bank of gyrus","datasource",1,1137,1858.903,1.87e-241,"*",0.62,7.7418e-239
"215","MG_Medial Geniculate Complex, Left","datasource",1,1137,1464.449,1.41e-206,"*",0.563,5.8374e-204
"216","MG_Medial Geniculate Complex, Right","datasource",1,1137,1570.935,1.73e-216,"*",0.58,7.1622e-214
"217","MM_Medial mammillary Nucleus, Left","datasource",1,1137,1432.926,1.45e-203,"*",0.558,6.003e-201
"218","Mo5_motor nucleus of trigeminal nerve, Left","datasource",1,1137,1729.245,1.59e-230,"*",0.603,6.5826e-228
"219","Mo5_motor nucleus of trigeminal nerve, Right","datasource",1,1137,2353.411,3.42e-279,"*",0.674,1.41588e-276
"220","MOrG_medial orbital gyrus, Left","datasource",1,1137,1670.932,1.9e-225,"*",0.595,7.866e-223
"221","MOrG_medial orbital gyrus, Right","datasource",1,1137,1867.782,3.47e-242,"*",0.622,1.43658e-239
"222","MPB_medial parabrachial nucleus, Left","datasource",1,1137,1893.191,2.88e-244,"*",0.625,1.19232e-241
"223","MPB_medial parabrachial nucleus,Right","datasource",1,1137,2559.804,2.21e-293,"*",0.692,9.14939999999999e-291
"224","MTG-i_middle temporal gyrus, Left, inferior bank of gyrus","datasource",1,1137,1664.999,6.32e-225,"*",0.594,2.61648e-222
"225","MTG-i_middle temporal gyrus, Right, inferior bank of gyrus","datasource",1,1137,1830.311,4.37e-239,"*",0.617,1.80918e-236
"226","MTG-s_middle temporal gyrus, Left, superior bank of gyrus","datasource",1,1137,1672.361,1.42e-225,"*",0.595,5.8788e-223
"227","MTG-s_middle temporal gyrus, Right, superior bank of gyrus","datasource",1,1137,1854.181,4.58e-241,"*",0.62,1.89612e-238
"228","nbM_Basal nucleus, Left","datasource",1,1137,1575.567,6.53e-217,"*",0.581,2.70342e-214
