"","contrast","estimate","SE","df","t.ratio","p.value"
"92","STC_posterior (caudal) superior temporal cortex (area 22c) - CBC_cerebellar cortex",-68.7395833333361,223.107262138639,19120,-0.308101057197418,0.999999999986025
"93","ITC_inferolateral temporal cortex (area TEv, area 20) - (V1C_primary visual cortex (striate cortex, area V1/17))",217.4225,223.107262138639,19120,0.974520048858355,0.999860895501337
"94","ITC_inferolateral temporal cortex (area TEv, area 20) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",27.6500000000002,223.107262138639,19120,0.123931420855402,1
"95","ITC_inferolateral temporal cortex (area TEv, area 20) - HIP_hippocampus (hippocampal formation)",-37.3408333333341,223.107262138639,19120,-0.167367180141947,1
"96","ITC_inferolateral temporal cortex (area TEv, area 20) - STR_striatum",56.295833333333,223.107262138639,19120,0.252326315126178,0.999999999999418
"97","ITC_inferolateral temporal cortex (area TEv, area 20) - AMY_amygdaloid complex",-102.805833333334,223.107262138639,19120,-0.460791066807365,0.999999995008809
"98","ITC_inferolateral temporal cortex (area TEv, area 20) - MD_mediodorsal nucleus of thalamus",36.4316666666669,223.107262138639,19120,0.163292159643052,1
"99","ITC_inferolateral temporal cortex (area TEv, area 20) - CBC_cerebellar cortex",93.4841666666645,223.107262138639,19120,0.419009967540068,0.999999998737644
"100","(V1C_primary visual cortex (striate cortex, area V1/17)) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",-189.7725,223.107262138639,19120,-0.850588628002953,0.999975551527122
"101","(V1C_primary visual cortex (striate cortex, area V1/17)) - HIP_hippocampus (hippocampal formation)",-254.763333333334,223.107262138639,19120,-1.1418872290003,0.999056869547426
"102","(V1C_primary visual cortex (striate cortex, area V1/17)) - STR_striatum",-161.126666666667,223.107262138639,19120,-0.722193733732177,0.999997240439376
"103","(V1C_primary visual cortex (striate cortex, area V1/17)) - AMY_amygdaloid complex",-320.228333333334,223.107262138639,19120,-1.43531111566572,0.988773757562422
"104","(V1C_primary visual cortex (striate cortex, area V1/17)) - MD_mediodorsal nucleus of thalamus",-180.990833333333,223.107262138639,19120,-0.811227889215303,0.999986882846399
"105","(V1C_primary visual cortex (striate cortex, area V1/17)) - CBC_cerebellar cortex",-123.938333333336,223.107262138639,19120,-0.555510081318288,0.999999927862681
"106","MFC_anterior (rostral) cingulate (medial prefrontal) cortex - HIP_hippocampus (hippocampal formation)",-64.9908333333343,223.107262138639,19120,-0.291298600997349,0.999999999993888
"107","MFC_anterior (rostral) cingulate (medial prefrontal) cortex - STR_striatum",28.6458333333328,223.107262138639,19120,0.128394894270776,1
"108","MFC_anterior (rostral) cingulate (medial prefrontal) cortex - AMY_amygdaloid complex",-130.455833333334,223.107262138639,19120,-0.584722487662767,0.999999851375822
"109","MFC_anterior (rostral) cingulate (medial prefrontal) cortex - MD_mediodorsal nucleus of thalamus",8.78166666666666,223.107262138639,19120,0.0393607387876497,1
"110","MFC_anterior (rostral) cingulate (medial prefrontal) cortex - CBC_cerebellar cortex",65.8341666666642,223.107262138639,19120,0.295078546684665,0.999999999992607
"111","HIP_hippocampus (hippocampal formation) - STR_striatum",93.6366666666671,223.107262138639,19120,0.419693495268125,0.999999998707432
"112","HIP_hippocampus (hippocampal formation) - AMY_amygdaloid complex",-65.4649999999998,223.107262138639,19120,-0.293423886665418,0.999999999993196
"113","HIP_hippocampus (hippocampal formation) - MD_mediodorsal nucleus of thalamus",73.772500000001,223.107262138639,19120,0.330659339784999,0.999999999960475
"114","HIP_hippocampus (hippocampal formation) - CBC_cerebellar cortex",130.824999999999,223.107262138639,19120,0.586377147682015,0.999999845353727
"115","STR_striatum - AMY_amygdaloid complex",-159.101666666667,223.107262138639,19120,-0.713117381933543,0.999997676447069
"116","STR_striatum - MD_mediodorsal nucleus of thalamus",-19.8641666666661,223.107262138639,19120,-0.089034155483126,1
"117","STR_striatum - CBC_cerebellar cortex",37.1883333333314,223.107262138639,19120,0.16668365241389,1
"118","AMY_amygdaloid complex - MD_mediodorsal nucleus of thalamus",139.237500000001,223.107262138639,19120,0.624083226450417,0.999999630108941
"119","AMY_amygdaloid complex - CBC_cerebellar cortex",196.289999999998,223.107262138639,19120,0.879801034347433,0.999962087187177
"120","MD_mediodorsal nucleus of thalamus - CBC_cerebellar cortex",57.0524999999976,223.107262138639,19120,0.255717807897016,0.999999999999179
