"","MD Thalamus - R2"
"BEAN1",0.99080929823714
"DUS1L",0.990799070225902
"PGD",0.990776850903605
"MAGED2",0.990751604286961
"CSRNP3",0.990704534442141
"CA11",0.990651668254732
"PCYOX1",0.990580659887063
"TMEM110-MUSTN1",0.99054007310862
"MMP2",0.990371117959744
"C10orf35",0.990351904803394
"PDE8B",0.990340591572581
"CHRNE",0.990337774812289
"RAVER2",0.990319286494021
"SRSF5",0.990318164640075
"CIB2",0.990208754800074
"CEP68",0.990205963982141
"ATMIN",0.990156697309409
"LHX2",0.990117615796336
"TOX2",0.990115338022768
"TRIM16",0.990115251074702
"GRB2",0.990039112300809
"BAG6",0.990005189014022
"LENG1",0.989952330969786
"PPT2",0.989947329928552
"KIF3B",0.989940898215717
"VASH1",0.989935210036043
"PRPS1",0.989868155016397
"DPM3",0.989867532532802
"PDE8A",0.989829951513212
"RFWD2",0.98980854382669
"TRIM32",0.989778313988326
"ETS2",0.98974677210279
"SNRPB",0.98972962123802
"KHDRBS1",0.989719692701093
"SLIT1",0.989648297949319
"TSPAN17",0.989594597768138
"GNB4",0.989580636989737
"CEP57",0.989577702480565
"PDZD4",0.989557448822446
"KCNRG",0.989553092757127
"TMOD3",0.989489473704328
"MPPED2",0.989458869571313
"WASF1",0.989457866550166
"PBX1",0.989401377187397
"SEL1L3",0.989351278369052
"SIL1",0.989341525420997
"BZW2",0.989311674564102
"MB21D2",0.989306465647463
"DHX9",0.989258375923668
"HAS3",0.989210916876994
"SEC14L2",0.989197011807958
"CHIC2",0.989147851530162
"NES",0.989129310461753
"CAND1",0.989098185799572
"ACACA",0.989079816868203
"ERC1",0.989068069825892
"MMP24",0.989003336266497
"LAMC1",0.988980913787616
"CDH2",0.988972099796739
"SLC51B",0.988969093200204
"TENM1",0.988917212710064
"PPIP5K2",0.988904349818968
"NT5DC2",0.98888999288167
"KAL1",0.98884578927672
"CPEB4",0.988835873753503
"SLCO1A2",0.988805748827522
"FOXO4",0.988804691290722
"ASPHD2",0.98879748113603
"PRKAR2B",0.98878792565164
"LEF1",0.988786956793143
"THAP9-AS1",0.988742647071086
"BFAR",0.988729585089058
"CRY1",0.988695835018216
"KDR",0.988677190151616
"ZNF329",0.988667181083899
"DDX46",0.988659020133457
"ZNF445",0.988605643685894
"CHRNA6",0.988599006565635
"ARHGAP19",0.98859005465269
"COTL1",0.988581890004463
"CLDN10",0.988553645291024
"VAMP1",0.988428716560585
"ARHGAP33",0.988398542052222
"HNRNPD",0.988248936788517
"SETD2",0.988240127171959
"TSR1",0.9882017622793
"SIAH1",0.988195772520374
"MAP6",0.988177933975948
"ODC1",0.988026619317512
"C9orf129",0.988022999425589
"ETS1",0.988010307867452
"RCOR3",0.987985972721721
"ATG4D",0.98794237802422
"DOCK1",0.987896573123429
"NUAK1",0.98784450836941
"JMJD8",0.987821973469175
